sampleName;sampleClass;featureName;featureClass;mzCenter;rtCenter;maxIntensity;integratedIntensity;startRT;endRT
20181010_MLMET0182.d;sample;Succinic_semialdehyde;met;101.024;312.48;4592;4592;286.32;339.74
20181010_MLMET0137.d;sample;Succinic_semialdehyde;met;101.024;312.48;6818;6818;286.08;339.5
20181010_MLMET0179.d;filter;Succinic_semialdehyde;met;101.024;312.48;4817;4817;286.29;339.71
20181010_MLMET0070.d;sample;Succinic_semialdehyde;ref;105.038;312.48;4676;4676;283.27;336.69
20181010_MLMET0095.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3438;3438;282.85;336.27
20181010_MLMET0184.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2832;2832;286.65;340.07
20181010_MLMET0163.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2681;2681;286.71;340.12
20181010_MLMET0069.d;sample;Succinic_semialdehyde;ref;105.038;312.48;10185;10185;286.42;339.84
20181010_MLMET0117.d;filter;Succinic_semialdehyde;ref;105.038;312.48;3293;3293;286.38;339.8
20181010_MLMET0075.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3040;3040;286.64;340.05
20181010_MLMET0120.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2671;2671;286.63;340.05
20181010_MLMET0168.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2843;2843;285.66;339.07
20181010_MLMET0071.d;sample;Succinic_semialdehyde;ref;105.038;312.48;5507;5507;285.65;339.07
20181010_MLMET0068.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2119;2119;283.59;337.01
20181010_MLMET0098.d;sample;Succinic_semialdehyde;ref;105.038;312.48;4545;4545;283.67;337.09
20181010_MLMET0089.d;filter;Succinic_semialdehyde;ref;105.038;312.48;3314;3314;285.03;338.44
20181010_MLMET0140.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3791;3791;285;338.42
20181010_MLMET0119.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3329;3329;286.51;339.93
20181010_MLMET0162.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3917;3917;286.52;339.94
20181010_MLMET0141.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3601;3601;286.32;339.74
20181010_MLMET0066.d;filter;Succinic_semialdehyde;ref;105.038;312.48;2509;2509;286.19;339.6
20181010_all_stds-r001.d;stds;Succinic_semialdehyde;ref;105.038;312.48;1388;1388;286.31;339.73
20181010_RCY308_control-r002.d;control;Succinic_semialdehyde;ref;105.038;312.48;4281;4281;286.33;339.75
20181010_MLMET0160.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2864;2864;283.48;336.9
20181010_MLMET0118.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2730;2730;283.65;337.07
20181010_MLMET0161.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3774;3774;286.7;340.12
20181010_MLMET0124.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2953;2953;286.57;339.99
20181010_MLMET0121.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3329;3329;284.97;338.39
20181010_MLMET0094.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3909;3909;284.92;338.34
20181010_MLMET0178.d;filter;Succinic_semialdehyde;ref;105.038;312.48;4431;4431;286.31;339.72
20181010_MLMET0091.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2719;2719;286.09;339.51
20181010_MLMET0123.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3182;3182;284.18;337.6
20181010_Blank-r001.d;blank;Succinic_semialdehyde;ref;105.038;312.48;1282;1282;284.02;337.45
20181010_MLMET0097.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2969;2969;285.96;339.37
20181010_MLMET0092.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2919;2919;286.23;339.65
20181010_MLMET0138.d;sample;Succinic_semialdehyde;ref;105.038;312.48;4064;4064;285.51;338.92
20181010_MLMET0125.d;filter;Succinic_semialdehyde;ref;105.038;312.48;4599;4599;285.55;338.97
20181010_MLMET0144.d;filter;Succinic_semialdehyde;ref;105.038;312.48;4924;4924;286.77;340.19
20181010_MLMET0187.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3821;3821;286.37;339.79
20181010_MLMET0185.d;sample;Succinic_semialdehyde;ref;105.038;312.48;4108;4108;285.43;338.84
20181010_MLMET0074.d;sample;Succinic_semialdehyde;ref;105.038;312.48;5865;5865;285.59;339.01
20181010_MLMET0135.d;filter;Succinic_semialdehyde;ref;105.038;312.48;3660;3660;285.97;339.39
20181010_all_stds-r002.d;stds;Succinic_semialdehyde;ref;105.038;312.48;1602;1602;285.91;339.33
20181010_MLMET0096.d;sample;Succinic_semialdehyde;ref;105.038;312.48;5143;5143;282.31;335.73
20181010_MLMET0142.d;sample;Succinic_semialdehyde;ref;105.038;312.48;4135;4135;282.12;335.53
20181010_MLMET0166.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3864;3864;284.14;337.56
20181010_MLMET0073.d;sample;Succinic_semialdehyde;ref;105.038;312.48;6438;6438;284.28;337.7
20181010_MLMET0143.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3957;3957;285.81;339.22
20181010_MLMET0186.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3191;3191;285.62;339.04
20181010_MLMET0181.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2375;2375;286.72;340.14
20181010_MLMET0067.d;filter;Succinic_semialdehyde;ref;105.038;312.48;3472;3472;286.42;339.84
20181010_MLMET0072.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2908;2908;285.96;339.38
20181010_MLMET0090.d;filter;Succinic_semialdehyde;ref;105.038;312.48;3010;3010;286.03;339.45
20181010_MLMET0093.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2761;2761;285.56;338.98
20181010_MLMET0183.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2551;2551;285.36;338.78
20181010_Blank-r002.d;blank;Succinic_semialdehyde;ref;105.038;312.48;1373;1373;285.24;338.66
20181010_MLMET0137.d;sample;Succinic_semialdehyde;ref;105.038;312.48;4575;4575;285.09;338.51
20181010_MLMET0180.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2602;2602;285.73;339.15
20181010_MLMET0159.d;filter;Succinic_semialdehyde;ref;105.038;312.48;4210;4210;285.48;338.9
20181010_RCY308_control-r001.d;control;Succinic_semialdehyde;ref;105.038;312.48;4338;4338;285.81;339.23
20181010_MLMET0122.d;sample;Succinic_semialdehyde;ref;105.038;312.48;3056;3056;285.69;339.1
20181010_MLMET0116.d;filter;Succinic_semialdehyde;ref;105.038;312.48;3321;3321;283.43;336.85
20181010_MLMET0167.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2834;2834;283.71;337.13
20181010_MLMET0164.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2612;2612;280.48;333.9
20181010_MLMET0182.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2839;2839;280.83;334.25
20181010_MLMET0136.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2866;2866;289.18;342.6
20181010_MLMET0165.d;sample;Succinic_semialdehyde;ref;105.038;312.48;2480;2480;289.14;342.56
20181010_MLMET0179.d;filter;Succinic_semialdehyde;ref;105.038;312.48;3222;3222;290.29;343.71
20181010_MLMET0139.d;sample;Succinic_semialdehyde;ref;105.038;312.48;4055;4055;290.25;343.66
20181010_MLMET0095.d;sample;2_Ketobutyric_acid;met;101.024;651.18;77364;77364;642.8;673.76
20181010_MLMET0178.d;filter;2_Ketobutyric_acid;met;101.024;651.18;15369;15369;642.76;673.71
20181010_MLMET0121.d;sample;2_Ketobutyric_acid;met;101.024;651.18;50838;50838;642.93;673.88
20181010_all_stds-r001.d;stds;2_Ketobutyric_acid;met;101.024;651.18;19581;19581;642.77;673.72
20181010_MLMET0098.d;sample;2_Ketobutyric_acid;met;101.024;651.18;37574;37574;642.62;673.57
20181010_MLMET0116.d;filter;2_Ketobutyric_acid;met;101.024;651.18;21092;21092;642.88;673.83
20181010_RCY308_control-r001.d;control;2_Ketobutyric_acid;met;101.024;651.18;20500;20500;642.77;673.72
20181010_MLMET0163.d;sample;2_Ketobutyric_acid;met;101.024;651.18;14099;14099;642.66;673.61
20181010_MLMET0072.d;sample;2_Ketobutyric_acid;met;101.024;651.18;65456;65456;638.42;669.38
20181010_MLMET0074.d;sample;2_Ketobutyric_acid;met;101.024;651.18;114797;114797;638.05;669
20181010_MLMET0179.d;filter;2_Ketobutyric_acid;met;101.024;651.18;14590;14590;637.26;668.21
20181010_MLMET0069.d;sample;2_Ketobutyric_acid;met;101.024;651.18;66190;66190;637.38;668.33
20181010_all_stds-r002.d;stds;2_Ketobutyric_acid;met;101.024;651.18;21879;21879;636.88;667.83
20181010_MLMET0186.d;sample;2_Ketobutyric_acid;met;101.024;651.18;54529;54529;636.59;667.54
20181010_MLMET0185.d;sample;2_Ketobutyric_acid;met;101.024;651.18;61458;61458;635.89;666.84
20181010_MLMET0144.d;filter;2_Ketobutyric_acid;met;101.024;651.18;13677;13677;635.74;666.69
20181010_MLMET0075.d;sample;2_Ketobutyric_acid;met;101.024;651.18;40414;40414;638.1;669.05
20181010_MLMET0141.d;sample;2_Ketobutyric_acid;met;101.024;651.18;26860;26860;638.28;669.24
20181010_MLMET0159.d;filter;2_Ketobutyric_acid;met;101.024;651.18;13397;13397;635.44;666.4
20181010_MLMET0162.d;sample;2_Ketobutyric_acid;met;101.024;651.18;49037;49037;635.49;666.44
20181010_MLMET0089.d;filter;2_Ketobutyric_acid;met;101.024;651.18;22405;22405;637.98;668.94
20181010_MLMET0142.d;sample;2_Ketobutyric_acid;met;101.024;651.18;32092;32092;637.57;668.52
20181010_MLMET0122.d;sample;2_Ketobutyric_acid;met;101.024;651.18;34312;34312;635.65;666.6
20181010_MLMET0184.d;sample;2_Ketobutyric_acid;met;101.024;651.18;24305;24305;635.62;666.57
20181010_MLMET0119.d;sample;2_Ketobutyric_acid;met;101.024;651.18;24040;24040;637.98;668.93
20181010_MLMET0168.d;sample;2_Ketobutyric_acid;met;101.024;651.18;15094;15094;637.62;668.57
20181010_MLMET0124.d;sample;2_Ketobutyric_acid;met;101.024;651.18;32540;32540;635.04;665.99
20181010_MLMET0167.d;sample;2_Ketobutyric_acid;met;101.024;651.18;60966;60966;635.17;666.13
20181010_MLMET0182.d;sample;2_Ketobutyric_acid;met;101.024;651.18;27903;27903;641.28;672.23
20181010_MLMET0164.d;sample;2_Ketobutyric_acid;met;101.024;651.18;27123;27123;641.43;672.38
20181010_MLMET0068.d;sample;2_Ketobutyric_acid;met;101.024;651.18;40668;40668;639.05;670.01
20181010_MLMET0071.d;sample;2_Ketobutyric_acid;met;101.024;651.18;62493;62493;639.11;670.06
20181010_MLMET0073.d;sample;2_Ketobutyric_acid;met;101.024;651.18;122742;122742;636.24;667.2
20181010_MLMET0091.d;sample;2_Ketobutyric_acid;met;101.024;651.18;70819;70819;636.05;667
20181010_MLMET0143.d;sample;2_Ketobutyric_acid;met;101.024;651.18;20491;20491;635.27;666.22
20181010_MLMET0125.d;filter;2_Ketobutyric_acid;met;101.024;651.18;17268;17268;635.51;666.47
20181010_MLMET0165.d;sample;2_Ketobutyric_acid;met;101.024;651.18;59715;59715;637.11;668.06
20181010_MLMET0136.d;sample;2_Ketobutyric_acid;met;101.024;651.18;31988;31988;637.15;668.1
20181010_MLMET0096.d;sample;2_Ketobutyric_acid;met;101.024;651.18;89836;89836;635.28;666.23
20181010_MLMET0070.d;sample;2_Ketobutyric_acid;met;101.024;651.18;84145;84145;635.23;666.19
20181010_MLMET0120.d;sample;2_Ketobutyric_acid;met;101.024;651.18;22952;22952;637.59;668.55
20181010_MLMET0138.d;sample;2_Ketobutyric_acid;met;101.024;651.18;45980;45980;637.96;668.92
20181010_MLMET0067.d;filter;2_Ketobutyric_acid;met;101.024;651.18;26070;26070;635.38;666.34
20181010_MLMET0135.d;filter;2_Ketobutyric_acid;met;101.024;651.18;16687;16687;635.44;666.39
20181010_MLMET0140.d;sample;2_Ketobutyric_acid;met;101.024;651.18;23363;23363;637.96;668.91
20181010_MLMET0183.d;sample;2_Ketobutyric_acid;met;101.024;651.18;14242;14242;637.82;668.77
20181010_MLMET0123.d;sample;2_Ketobutyric_acid;met;101.024;651.18;49912;49912;635.14;666.09
20181010_MLMET0094.d;sample;2_Ketobutyric_acid;met;101.024;651.18;25357;25357;635.38;666.34
20181010_MLMET0066.d;filter;2_Ketobutyric_acid;met;101.024;651.18;28391;28391;638.65;669.6
20181010_RCY308_control-r002.d;control;2_Ketobutyric_acid;met;101.024;651.18;21751;21751;638.8;669.75
20181010_Blank-r001.d;blank;2_Ketobutyric_acid;met;101.024;651.18;19769;19769;637.99;668.94
20181010_MLMET0117.d;filter;2_Ketobutyric_acid;met;101.024;651.18;24354;24354;637.84;668.8
20181010_MLMET0090.d;filter;2_Ketobutyric_acid;met;101.024;651.18;25814;25814;638;668.95
20181010_MLMET0161.d;sample;2_Ketobutyric_acid;met;101.024;651.18;45750;45750;637.66;668.62
20181010_Blank-r002.d;blank;2_Ketobutyric_acid;met;101.024;651.18;24388;24388;636.2;667.16
20181010_MLMET0187.d;sample;2_Ketobutyric_acid;met;101.024;651.18;16236;16236;636.34;667.29
20181010_MLMET0118.d;sample;2_Ketobutyric_acid;met;101.024;651.18;27154;27154;637.6;668.56
20181010_MLMET0180.d;sample;2_Ketobutyric_acid;met;101.024;651.18;23640;23640;637.69;668.64
20181010_MLMET0092.d;sample;2_Ketobutyric_acid;met;101.024;651.18;33818;33818;635.19;666.15
20181010_MLMET0137.d;sample;2_Ketobutyric_acid;met;101.024;651.18;16443;16443;635.05;666.01
20181010_MLMET0160.d;sample;2_Ketobutyric_acid;met;101.024;651.18;14436;14436;637.94;668.9
20181010_MLMET0093.d;sample;2_Ketobutyric_acid;met;101.024;651.18;39339;39339;637.53;668.48
20181010_MLMET0097.d;sample;2_Ketobutyric_acid;met;101.024;651.18;29275;29275;635.42;666.38
20181010_MLMET0139.d;sample;2_Ketobutyric_acid;met;101.024;651.18;15368;15368;635.22;666.17
20181010_MLMET0181.d;sample;2_Ketobutyric_acid;met;101.024;651.18;88941;88941;637.19;668.14
20181010_MLMET0166.d;sample;2_Ketobutyric_acid;met;101.024;651.18;14811;14811;637.1;668.06
20181010_MLMET0073.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;29050;29050;642.23;673.19
20181010_MLMET0125.d;filter;2_Ketobutyric_acid;ref;105.038;651.18;13980;13980;642.5;673.46
20181010_MLMET0142.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;11137;11137;641.07;672.02
20181010_MLMET0185.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;11042;11042;641.38;672.33
20181010_MLMET0096.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;23702;23702;635.28;666.23
20181010_MLMET0071.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;35348;35348;635.11;666.07
20181010_MLMET0121.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;21115;21115;637.43;668.39
20181010_MLMET0141.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;9800;9800;637.28;668.24
20181010_MLMET0069.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;27796;27796;635.38;666.34
20181010_MLMET0186.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;11511;11511;635.09;666.04
20181010_MLMET0165.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;9869;9869;637.61;668.56
20181010_MLMET0095.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;24143;24143;637.81;668.76
20181010_MLMET0162.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;9682;9682;635.99;666.94
20181010_MLMET0070.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;28969;28969;635.73;666.69
20181010_MLMET0120.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;19472;19472;637.1;668.05
20181010_MLMET0160.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;10827;10827;637.44;668.4
20181010_MLMET0167.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;9963;9963;635.17;666.13
20181010_MLMET0164.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;11454;11454;635.44;666.39
20181010_MLMET0135.d;filter;2_Ketobutyric_acid;ref;105.038;651.18;10270;10270;637.93;668.89
20181010_MLMET0118.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;19800;19800;637.6;668.56
20181010_RCY308_control-r001.d;control;2_Ketobutyric_acid;ref;105.038;651.18;2018;2018;640.27;671.22
20181010_MLMET0091.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;25221;25221;640.05;671
20181010_MLMET0159.d;filter;2_Ketobutyric_acid;ref;105.038;651.18;10293;10293;640.44;671.39
20181010_MLMET0168.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;9747;9747;640.11;671.07
20181010_MLMET0072.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;26697;26697;635.93;666.88
20181010_MLMET0122.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;18687;18687;635.65;666.6
20181010_MLMET0090.d;filter;2_Ketobutyric_acid;ref;105.038;651.18;26059;26059;637.5;668.45
20181010_MLMET0136.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;12578;12578;637.15;668.1
20181010_MLMET0163.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;9512;9512;635.67;666.63
20181010_all_stds-r001.d;stds;2_Ketobutyric_acid;ref;105.038;651.18;2039;2039;635.78;666.73
20181010_MLMET0144.d;filter;2_Ketobutyric_acid;ref;105.038;651.18;11288;11288;637.23;668.19
20181010_all_stds-r002.d;stds;2_Ketobutyric_acid;ref;105.038;651.18;2143;2143;637.38;668.33
20181010_MLMET0178.d;filter;2_Ketobutyric_acid;ref;105.038;651.18;10499;10499;635.27;666.22
20181010_MLMET0089.d;filter;2_Ketobutyric_acid;ref;105.038;651.18;22639;22639;635.49;666.44
20181010_MLMET0068.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;31510;31510;637.55;668.51
20181010_MLMET0094.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;24075;24075;637.88;668.83
20181010_MLMET0119.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;22237;22237;635.48;666.44
20181010_MLMET0184.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;9304;9304;635.12;666.07
20181010_MLMET0097.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;24044;24044;637.42;668.37
20181010_MLMET0179.d;filter;2_Ketobutyric_acid;ref;105.038;651.18;8402;8402;637.26;668.21
20181010_RCY308_control-r002.d;control;2_Ketobutyric_acid;ref;105.038;651.18;2010;2010;635.3;666.26
20181010_MLMET0092.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;26138;26138;635.19;666.15
20181010_MLMET0123.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;19045;19045;641.63;672.59
20181010_MLMET0124.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;13564;13564;641.53;672.48
20181010_MLMET0074.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;29484;29484;635.56;666.51
20181010_MLMET0161.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;10361;10361;635.67;666.62
20181010_Blank-r001.d;blank;2_Ketobutyric_acid;ref;105.038;651.18;1849;1849;637.49;668.44
20181010_MLMET0166.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;9189;9189;637.1;668.06
20181010_MLMET0137.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;10945;10945;635.05;666.01
20181010_MLMET0140.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;11775;11775;635.46;666.42
20181010_MLMET0181.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;10526;10526;637.19;668.14
20181010_MLMET0116.d;filter;2_Ketobutyric_acid;ref;105.038;651.18;21358;21358;637.38;668.34
20181010_MLMET0143.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;10254;10254;635.77;666.72
20181010_MLMET0075.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;32146;32146;635.6;666.55
20181010_MLMET0093.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;20582;20582;637.03;667.98
20181010_MLMET0183.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;10190;10190;637.32;668.27
20181010_MLMET0098.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;23071;23071;635.63;666.58
20181010_MLMET0067.d;filter;2_Ketobutyric_acid;ref;105.038;651.18;25500;25500;635.88;666.84
20181010_MLMET0138.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;10372;10372;637.47;668.42
20181010_MLMET0117.d;filter;2_Ketobutyric_acid;ref;105.038;651.18;27686;27686;637.34;668.3
20181010_MLMET0139.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;10467;10467;635.22;666.17
20181010_MLMET0180.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;9910;9910;635.19;666.15
20181010_MLMET0187.d;sample;2_Ketobutyric_acid;ref;105.038;651.18;10524;10524;637.34;668.29
